City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,Yenagoa,4.9247,6.2642,82.9,72,99,4.32,NG,2021-02-26 08:10:36
235,Fereydunshahr,32.941,50.121,26.78,93,47,5.48,IR,2021-02-26 08:10:36
236,Luderitz,-26.6481,15.1594,68.04,66,0,4.07,NA,2021-02-26 08:10:37
237,Cayenne,4.9333,-52.3333,78.8,83,90,10.36,GF,2021-02-26 08:10:37
238,Tamale,9.4008,-0.8393,80.62,9,14,2.66,GH,2021-02-26 08:10:37
239,Guerrero Negro,27.9769,-114.0611,59.7,44,95,1.45,MX,2021-02-26 08:05:56
240,Puerto Quijarro,-17.7833,-57.7667,77.9,68,100,0.38,BO,2021-02-26 08:10:38
241,Kljuc,44.535,16.7722,44.6,93,0,4.61,BA,2021-02-26 08:10:38
242,Puebloviejo,10.9938,-74.2844,82.0,71,82,25.01,CO,2021-02-26 08:10:38
243,Kamenka,51.3223,42.7678,36.0,97,100,10.33,RU,2021-02-26 08:10:39
244,Migori,-1.0634,34.4731,81.7,43,0,1.25,KE,2021-02-26 08:10:39
245,Pangoa,-12.1167,-73.0,67.21,96,100,2.71,PE,2021-02-26 08:10:39
246,Nampula,-15.1165,39.2666,86.0,58,75,2.3,MZ,2021-02-26 08:10:39
247,Choya,52.0108,86.5467,0.77,86,100,5.79,RU,2021-02-26 08:10:39
248,Kholodnyy,62.7167,147.95,-16.04,98,51,3.27,RU,2021-02-26 08:10:39
249,Pevek,69.7008,170.3133,-24.14,97,88,6.69,RU,2021-02-26 08:10:40
250,Saint-Pierre,-21.3393,55.4781,86.0,58,0,6.91,RE,2021-02-26 08:10:40
251,Narasannapeta,18.4167,84.05,92.26,29,0,13.58,IN,2021-02-26 08:10:40
252,Seymchan,62.8833,152.4333,-21.21,95,94,3.06,RU,2021-02-26 08:10:41
253,Lavrentiya,65.5833,-171.0,-22.74,75,0,9.78,RU,2021-02-26 08:10:41
254,Niquelandia,-14.4739,-48.4597,68.29,91,93,1.05,BR,2021-02-26 08:10:41
255,Simpang,-1.2667,104.0833,89.49,53,73,8.41,ID,2021-02-26 08:10:41
256,Timberlake,37.3207,-79.2575,44.6,39,90,8.05,US,2021-02-26 08:10:42
257,Asyut,27.181,31.1837,53.6,66,0,5.75,EG,2021-02-26 08:08:01
258,Ulan-Ude,51.8261,107.6098,14.0,85,90,2.24,RU,2021-02-26 08:10:42
259,Goderich,43.7501,-81.7165,10.4,85,0,2.3,CA,2021-02-26 08:10:42
260,Port Pirie,-33.1833,138.0167,73.4,60,0,14.97,AU,2021-02-26 08:10:43
261,Dubbo,-32.25,148.6167,82.4,26,93,6.91,AU,2021-02-26 08:10:43
262,San Patricio,28.017,-97.5169,73.4,88,90,14.97,US,2021-02-26 08:10:43
263,San Andres,12.5847,-81.7006,80.6,74,40,13.8,CO,2021-02-26 08:08:21
264,Cape Canaveral,28.4058,-80.6048,62.6,59,1,2.75,US,2021-02-26 08:07:39
265,Molodizhne,48.1773,32.6601,46.4,76,0,4.47,UA,2021-02-26 08:10:44
266,Lucea,18.451,-78.1736,75.2,78,20,3.44,JM,2021-02-26 08:10:44
267,Maragogi,-9.0122,-35.2225,75.7,84,22,1.34,BR,2021-02-26 08:10:44
268,Alice Springs,-23.7,133.8833,87.8,10,0,9.22,AU,2021-02-26 08:10:45
269,Takoradi,4.8845,-1.7554,80.38,82,100,6.33,GH,2021-02-26 08:10:45
270,Muros,42.7762,-9.0603,52.0,82,73,7.0,ES,2021-02-26 08:10:45
271,Araouane,18.9048,-3.5265,59.88,22,0,7.94,ML,2021-02-26 08:10:45
272,Novyy Urengoy,66.0833,76.6333,-18.8,92,99,3.44,RU,2021-02-26 08:06:50
273,Almenara,-16.1836,-40.6944,70.83,91,80,1.81,BR,2021-02-26 08:10:46
274,Plerin,48.5425,-2.7798,41.0,93,75,3.44,FR,2021-02-26 08:10:46
